iter	Passed	Remaining
0	145	145123
1	146	73147
2	149	49683
3	150	37492
4	151	30172
5	154	25628
6	155	22093
7	157	19501
8	158	17466
9	160	15917
10	163	14682
11	169	13924
12	170	12950
13	172	12120
14	173	11383
15	174	10736
16	175	10164
17	179	9788
18	184	9543
19	187	9170
20	188	8790
21	189	8429
22	193	8205
23	194	7916
24	200	7810
25	204	7643
26	205	7419
27	207	7205
28	247	8271
29	249	8054
30	250	7829
31	251	7620
32	253	7427
33	255	7264
34	257	7105
35	259	6939
36	263	6850
37	264	6701
38	266	6563
39	267	6427
40	269	6296
41	270	6174
42	272	6056
43	274	5958
44	277	5881
45	278	5775
46	316	6418
47	320	6364
48	322	6254
49	324	6174
50	326	6072
51	327	5978
52	329	5888
53	332	5827
54	334	5743
55	339	5729
56	341	5645
57	343	5570
58	344	5494
59	345	5418
60	348	5361
61	349	5291
62	354	5268
63	374	5479
64	376	5422
65	378	5353
66	380	5293
67	381	5224
68	384	5193
69	386	5137
70	388	5077
71	389	5020
72	391	4966
73	392	4906
74	393	4855
75	394	4799
76	395	4743
77	396	4690
78	400	4668
79	401	4618
80	402	4569
81	403	4521
82	404	4472
83	405	4423
84	406	4378
85	407	4334
86	409	4295
87	410	4251
88	411	4208
89	415	4205
90	417	4169
91	418	4130
92	419	4090
93	420	4051
94	421	4011
95	421	3972
96	422	3935
97	425	3916
98	430	3916
99	432	3890
100	433	3857
101	434	3824
102	436	3799
103	437	3771
104	438	3738
105	439	3707
106	440	3676
107	443	3659
108	444	3636
109	446	3610
110	447	3587
111	448	3559
112	450	3533
113	451	3511
114	458	3526
115	459	3503
116	461	3481
117	462	3460
118	464	3440
119	466	3419
120	467	3395
121	470	3389
122	472	3369
123	476	3369
124	478	3347
125	479	3327
126	481	3312
127	482	3286
128	483	3265
129	487	3264
130	488	3243
131	489	3220
132	490	3198
133	491	3176
134	492	3154
135	493	3136
136	494	3112
137	495	3093
138	495	3071
139	496	3047
140	496	3027
141	497	3007
142	498	2986
143	500	2977
144	501	2957
145	502	2939
146	503	2920
147	503	2899
148	504	2880
149	505	2865
150	510	2870
151	513	2863
152	521	2884
153	523	2873
154	524	2861
155	526	2846
156	527	2834
157	532	2836
158	534	2827
159	535	2810
160	535	2793
161	536	2775
162	538	2764
163	538	2746
164	539	2731
165	540	2716
166	542	2704
167	542	2688
168	546	2686
169	548	2677
170	557	2705
171	559	2691
172	559	2676
173	560	2662
174	563	2655
175	565	2645
176	566	2633
177	567	2619
178	568	2607
179	569	2595
180	570	2581
181	571	2566
182	573	2562
183	574	2549
184	576	2539
185	577	2528
186	578	2515
187	579	2504
188	581	2494
189	582	2483
190	583	2471
191	584	2458
192	588	2459
193	590	2454
194	592	2443
195	592	2430
196	593	2420
197	611	2478
198	613	2469
199	614	2459
200	616	2450
201	619	2448
202	622	2443
203	623	2434
204	624	2423
205	626	2413
206	628	2409
207	629	2398
208	630	2386
209	631	2375
210	631	2363
211	634	2358
212	636	2351
213	637	2341
214	638	2332
215	640	2323
216	641	2313
217	642	2302
218	642	2290
219	642	2279
220	644	2270
221	652	2284
222	654	2280
223	655	2271
224	656	2261
225	657	2251
226	658	2244
227	659	2234
228	660	2225
229	667	2233
230	668	2223
231	669	2215
232	669	2204
233	670	2195
234	671	2184
235	671	2174
236	672	2164
237	673	2157
238	675	2149
239	680	2154
240	681	2146
241	682	2137
242	683	2128
243	684	2119
244	702	2163
245	702	2154
246	703	2146
247	709	2150
248	711	2147
249	712	2138
250	713	2129
251	714	2121
252	715	2112
253	716	2103
254	718	2099
255	719	2090
256	723	2092
257	724	2084
258	725	2076
259	726	2068
260	727	2060
261	728	2052
262	729	2044
263	730	2037
264	731	2029
265	732	2021
266	739	2029
267	741	2025
268	742	2018
269	743	2011
270	745	2005
271	746	1998
272	747	1991
273	749	1985
274	751	1981
275	753	1975
276	754	1969
277	755	1962
278	757	1957
279	759	1952
280	760	1945
281	761	1938
282	766	1942
283	767	1936
284	768	1928
285	770	1922
286	771	1916
287	772	1909
288	773	1902
289	775	1897
290	779	1900
291	781	1893
292	781	1886
293	783	1880
294	783	1873
295	785	1867
296	786	1860
297	786	1853
298	787	1846
299	788	1838
300	788	1831
301	789	1824
302	789	1817
303	790	1809
304	795	1813
305	797	1808
306	798	1801
307	799	1795
308	799	1788
309	801	1783
